Time_label,Median_minutter,Antal_ture,Kategori,Periode
00:00-01:00,14.4,5273,Gul,Nat
01:00-02:00,14.2,4751,Gul,Nat
02:00-03:00,14.6,4315,Gul,Nat
03:00-04:00,15.1,4040,Rød,Nat
04:00-05:00,14.5,3526,Gul,Nat
05:00-06:00,14.5,3696,Gul,Nat
06:00-07:00,16.1,4344,Rød,Morgen
07:00-08:00,13.9,5625,Gul,Morgen
08:00-09:00,12.3,10340,Gul,Morgen
09:00-10:00,13.1,11451,Gul,Formiddag
10:00-11:00,13.5,11788,Gul,Formiddag
11:00-12:00,13.5,11951,Gul,Formiddag
12:00-13:00,13.2,11189,Gul,Middag
13:00-14:00,13.0,9713,Gul,Eftermiddag
14:00-15:00,13.1,10186,Gul,Eftermiddag
15:00-16:00,13.4,8917,Gul,Eftermiddag
16:00-17:00,12.9,7953,Gul,Eftermiddag
17:00-18:00,12.8,8083,Gul,Eftermiddag
18:00-19:00,13.2,8380,Gul,Aften
19:00-20:00,13.0,8187,Gul,Aften
20:00-21:00,12.9,7841,Gul,Aften
21:00-22:00,13.2,7228,Gul,Aften
22:00-23:00,13.8,6671,Gul,Aften
23:00-00:00,14.2,5640,Gul,Aften
